역사명,노선명,역위도,역경도
건들바위,대구 도시철도 3호선,35.85538252,128.5996903
공단,대구 도시철도 3호선,35.891,128.553
구암(과학대보건대입구),대구 도시철도 3호선,35.92574223,128.5503415
남산(계명네거리),대구 도시철도 3호선,35.85668979,128.5834576
달성공원,대구 도시철도 3호선,35.87703001,128.5821218
대봉교,대구 도시철도 3호선,35.85499783,128.6063685
동천,대구 도시철도 3호선,35.93770658,128.556683
만평,대구 도시철도 3호선,35.889893,128.561002
매천,대구 도시철도 3호선,35.912,128.543
매천시장,대구 도시철도 3호선,35.904,128.545
명덕(2·28민주운동기념회관),대구 도시철도 3호선,35.85694518,128.5900469
범물,대구 도시철도 3호선,35.82083917,128.6401127
북구청(DGB대구은행파크),대구 도시철도 3호선,35.88481395,128.5814483
서문시장(동산병원),대구 도시철도 3호선,35.86966429,128.582241
수성구민운동장,대구 도시철도 3호선,35.85240979,128.6251246
수성못(TBC),대구 도시철도 3호선,35.83135605,128.6232167
수성시장,대구 도시철도 3호선,35.85431676,128.6160292
어린이세상,대구 도시철도 3호선,35.84516989,128.6244677
용지,대구 도시철도 3호선,35.8182678,128.6465345
원대,대구 도시철도 3호선,35.88973679,128.5743923
지산,대구 도시철도 3호선,35.82515322,128.6319513
청라언덕(신남),대구 도시철도 3호선,35.86419437,128.5823758
칠곡경대병원,대구 도시철도 3호선,35.95838748,128.5598908
칠곡운암,대구 도시철도 3호선,35.93145534,128.5545305
태전,대구 도시철도 3호선,35.919,128.547
팔거(국립농관원통계청),대구 도시철도 3호선,35.94404716,128.5583366
팔달,대구 도시철도 3호선,35.897,128.546
팔달시장,대구 도시철도 3호선,35.88883085,128.5678716
학정,대구 도시철도 3호선,35.95155512,128.5591934
황금,대구 도시철도 3호선,35.83907838,128.6239185
